岗位名称,所属部门,职级层级,职级,岗位类型,核心技能,加分技能,必备培训,绩效要求,司龄要求,办公方式要求,是否管理岗,适配说明
运维经理,行政中心,经理层,经理,管理岗,Go、Spring Boot、敏捷开发、数据结构、算法,目标管理、私域流量运营、高效沟通技巧,目标管理、私域流量运营、高效沟通技巧,绩效4分以上,3年以上,混合办公,是,适合运维经理管理岗位的人才
销售开发代表,营销中心,员工层,中级,技术岗,CRM、业绩目标、关系维护、售后服务、商务谈判、回款管理、大客户管理、客户成功、客户管理、招投标、方案撰写、渠道拓展、销售技巧、需求挖掘,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、用户体验设计、目标管理、短视频运营、私域流量运营、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、用户体验设计、目标管理、短视频运营、私域流量运营、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合销售开发代表岗位要求的人才
高级HRBP,财务中心,主管层,主管,支撑岗,HRBP、OD、人才盘点、企业文化、员工关系、培训发展、绩效管理,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、商务礼仪、职业规划,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、商务礼仪、绩效管理、职业规划,绩效3分以上,2年以上,混合办公,否,适合高级HRBP岗位要求的人才
高级产品经理,财务中心,主管层,主管,管理岗,Axure、Figma、PRD撰写、Sketch、UI设计、交互设计、产品设计、原型设计、数据分析、用户体验、用户增长、用户研究、竞品分析、需求分析、项目管理,Excel高级应用、公文写作、压力管理、增长黑客、客户服务技巧、演讲与表达、用户体验设计、私域流量运营、结构化思考、绩效管理、薪酬设计、销售谈判技巧、高效沟通技巧,Excel高级应用、公文写作、压力管理、增长黑客、客户服务技巧、演讲与表达、用户体验设计、私域流量运营、结构化思考、绩效管理、薪酬设计、销售谈判技巧、高效沟通技巧,绩效3分以上,2年以上,现场或混合办公,是,适合高级产品经理管理岗位的人才
高级产品设计师,研发中心,主管层,主管,设计岗,Axure、Figma、PRD撰写、Sketch、UI设计、交互设计、产品设计、原型设计、数据分析、用户体验、用户增长、用户研究、竞品分析、需求分析、项目管理,PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、团队协作、招聘面试技巧、数据分析思维、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、绩效管理、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、高效沟通技巧,PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、团队协作、招聘面试技巧、数据分析思维、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、绩效管理、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、高效沟通技巧,绩效3分以上,2年以上,现场办公、远程办公,否,适合高级产品设计师岗位要求的人才
高级安全工程师,研发中心,主管层,主管,技术岗,K8s、MySQL、Python、React、Redis、Spring Boot、Vue、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Python数据分析、公文写作、团队协作、情绪管理、招聘面试技巧、敏捷开发Scrum、时间管理、用户体验设计、结构化思考、绩效管理、职业规划、销售谈判技巧、项目管理PMP,Python数据分析、公文写作、团队协作、情绪管理、招聘面试技巧、敏捷开发Scrum、时间管理、用户体验设计、结构化思考、绩效管理、职业规划、销售谈判技巧、项目管理PMP,绩效3分以上,2年以上,现场或混合办公,否,适合高级安全工程师岗位要求的人才
高级客户经理,营销中心,主管层,主管,管理岗,CRM、业绩目标、关系维护、售后服务、商务谈判、回款管理、大客户管理、客户成功、客户管理、招投标、方案撰写、渠道拓展、销售技巧、需求挖掘,产品经理进阶、创新思维、团队协作、客户服务技巧、数据分析思维、时间管理、结构化思考、问题解决、领导力提升,产品经理进阶、创新思维、团队协作、客户服务技巧、数据分析思维、时间管理、结构化思考、问题解决、领导力提升,绩效3分以上,2年以上,现场或混合办公,是,适合高级客户经理管理岗位的人才
高级数据工程师,研发中心,主管层,主管,技术岗,A/B测试、Hadoop、Tableau、TensorFlow、数据分析、数据可视化、数据挖掘、深度学习、特征工程、统计学,Python数据分析、公文写作、商务礼仪、团队协作、数据分析思维、时间管理、用户体验设计,Python数据分析、公文写作、商务礼仪、团队协作、数据分析思维、时间管理、用户体验设计,绩效3分以上,2年以上,混合办公,否,适合高级数据工程师岗位要求的人才
高级数据科学家,研发中心,主管层,主管,支撑岗,A/B测试、Hadoop、Hive、PyTorch、SQL、Spark、Tableau、TensorFlow、数据分析、机器学习、深度学习、特征工程,创新思维、团队协作、客户服务技巧、招聘面试技巧、数据分析思维、演讲与表达、结构化思考、绩效管理、薪酬设计、项目管理PMP,创新思维、团队协作、客户服务技巧、招聘面试技巧、数据分析思维、演讲与表达、结构化思考、绩效管理、薪酬设计、项目管理PMP,绩效3分以上,2年以上,现场或混合办公,否,适合高级数据科学家岗位要求的人才
高级文档工程师,营销中心,主管层,主管,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、敏捷开发、数据结构,PPT商务演示、增长黑客、客户服务技巧、情绪管理、时间管理、用户体验设计、短视频运营、薪酬设计、问题解决、领导力提升,PPT商务演示、增长黑客、客户服务技巧、情绪管理、时间管理、用户体验设计、短视频运营、薪酬设计、问题解决、领导力提升,绩效3分以上,2年以上,现场或混合办公,否,适合高级文档工程师岗位要求的人才
高级测试工程师,研发中心,主管层,主管,技术岗,CI/CD、Docker、Git、Java、Linux、MySQL、Python、React、Redis、Vue、单元测试、微服务、性能优化、数据结构、算法,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、团队协作、增长黑客、客户服务技巧、目标管理、绩效管理、问题解决、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、团队协作、增长黑客、客户服务技巧、目标管理、绩效管理、问题解决、领导力提升、高效沟通技巧,绩效3分以上,2年以上,现场或混合办公,否,适合高级测试工程师岗位要求的人才
高级财务分析师,财务中心,主管层,主管,技术岗,ERP系统、Excel高级、会计核算、合规管理、成本控制、投融资、财务分析、财务建模、财务报表、资金管理、预算管理,创新思维、商务礼仪、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、用户体验设计、私域流量运营、绩效管理,创新思维、商务礼仪、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、用户体验设计、私域流量运营、绩效管理,绩效3分以上,2年以上,现场办公、远程办公,否,适合高级财务分析师岗位要求的人才
高级软件工程师,研发中心,主管层,主管,技术岗,CI/CD、Docker、Go、Java、K8s、Linux、Python、React、Redis、Spring Boot、Vue、单元测试、性能优化、接口测试、数据结构、算法,产品经理进阶、商务礼仪、增长黑客、敏捷开发Scrum、用户体验设计、目标管理、短视频运营、薪酬设计、问题解决,产品经理进阶、商务礼仪、增长黑客、敏捷开发Scrum、用户体验设计、目标管理、短视频运营、薪酬设计、问题解决,绩效3分以上,2年以上,现场或混合办公,否,适合高级软件工程师岗位要求的人才
高级运维工程师,研发中心,主管层,主管,技术岗,Java、K8s、Linux、Python、React、Spring Boot、Vue、微服务、接口测试、敏捷开发、数据结构,商务礼仪、客户服务技巧、数据分析思维、时间管理、薪酬设计、问题解决,商务礼仪、客户服务技巧、数据分析思维、时间管理、薪酬设计、问题解决,绩效3分以上,2年以上,现场或混合办公,否,适合高级运维工程师岗位要求的人才
